Account Number,Post Date,Check,Description,Debit,Credit,Category,Status,Balance
*****1234,11/07/2025,,ACH Credit ACME CORP – PAYROLL,,3113.17,Payroll,Posted,81243.11
*****1234,11/07/2025,,Citibank Card Payment,24.11,,Credit Card Payment,Posted,81219.00
*****1234,11/08/2025,,Comcast Internet Service,81.13,,Utilities,Posted,81137.87
*****1234,11/12/2025,,ACH Debit Netflix Subscription,15.99,,Entertainment,Posted,81121.88
*****1234,11/13/2025,,AT&T Wireless Payment,111.89,,Utilities,Posted,81009.99
*****1234,11/17/2025,,ACH Debit Spotify,10.99,,Entertainment,Posted,80999.00
*****1234,11/19/2025,,Apple iCloud Storage,2.99,,Utilities,Posted,80996.01
*****1234,11/21/2025,,ACH Credit ACME CORP – PAYROLL,,3325.31,Payroll,Posted,84321.32
*****1234,11/21/2025,,Chase Sapphire Payment,427.68,,Credit Card Payment,Posted,83893.64
*****1234,11/23/2025,,Electric Company Bill,176.75,,Utilities,Posted,83716.89
*****1234,11/25/2025,,Citibank Card Payment,56.53,,Credit Card Payment,Posted,83660.36
*****1234,11/26/2025,,Citibank Card Payment,60.07,,Credit Card Payment,Posted,83600.29
*****1234,11/30/2025,,Whole Foods Market,81.18,,Groceries,Posted,83519.11
*****1234,12/01/2025,,Rent Payment – Property Mgmt,2263.88,,Housing,Posted,81255.23
*****1234,12/05/2025,,ACH Credit ACME CORP – PAYROLL,,3354.15,Payroll,Posted,84609.38
*****1234,12/08/2025,,Citibank Card Payment,57.56,,Credit Card Payment,Posted,84551.82
*****1234,12/08/2025,,Comcast Internet Service,76.86,,Utilities,Posted,84474.96
*****1234,12/12/2025,,ACH Debit Netflix Subscription,15.99,,Entertainment,Posted,84458.97
*****1234,12/13/2025,,AT&T Wireless Payment,97.78,,Utilities,Posted,84361.19
*****1234,12/17/2025,,ACH Debit Spotify,10.99,,Entertainment,Posted,84350.20
*****1234,12/19/2025,,ACH Credit ACME CORP – PAYROLL,,3359.43,Payroll,Posted,87709.63
*****1234,12/19/2025,,Apple iCloud Storage,2.99,,Utilities,Posted,87706.64
*****1234,12/20/2025,,Citibank Card Payment,223.16,,Credit Card Payment,Posted,87483.48
*****1234,12/21/2025,,Chase Sapphire Payment,465.33,,Credit Card Payment,Posted,87018.15
*****1234,12/23/2025,,Electric Company Bill,130.14,,Utilities,Posted,86888.02
