date,description,amount,type,category,source,month,year
2025-11-11,SWEETGREEN,-20.73,Sale,Food & Drink,fake_creditcard_1,2025-11,2025
2025-11-12,CHIPOTLE,-13.22,Sale,Food & Drink,fake_creditcard_1,2025-11,2025
2025-11-13,AMAZON.COM RETURN,50.81,Refund,Shopping,fake_creditcard_1,2025-11,2025
2025-11-15,STARBUCKS,-10.51,Sale,Food & Drink,fake_creditcard_1,2025-11,2025
2025-11-17,DOORDASH,-55.48,Sale,Food & Drink,fake_creditcard_1,2025-11,2025
2025-11-21,LULULEMON,-130.53,Sale,Shopping,fake_creditcard_1,2025-11,2025
2025-11-23,REI RETURN,126.42,Refund,Shopping,fake_creditcard_1,2025-11,2025
2025-11-24,CHIPOTLE,-15.86,Sale,Food & Drink,fake_creditcard_1,2025-11,2025
2025-11-29,SQ *THE BOUNCE PLACE,-14.34,Sale,Entertainment,fake_creditcard_1,2025-11,2025
2025-12-02,TICKETMASTER,-96.41,Sale,Entertainment,fake_creditcard_1,2025-12,2025
2025-12-03,WALGREENS,-50.91,Sale,Health,fake_creditcard_1,2025-12,2025
2025-12-07,TRADER JOE'S #581,-57.65,Sale,Groceries,fake_creditcard_1,2025-12,2025
2025-12-10,INSTACART,-103.28,Sale,Groceries,fake_creditcard_1,2025-12,2025
2025-12-12,MUSEUM,-36.28,Sale,Entertainment,fake_creditcard_1,2025-12,2025
2025-12-14,BARNES & NOBLE,-49.16,Sale,Shopping,fake_creditcard_1,2025-12,2025
2025-12-15,SEPHORA,-76.63,Sale,Shopping,fake_creditcard_1,2025-12,2025
2025-12-17,WALGREENS,-35.5,Sale,Health,fake_creditcard_1,2025-12,2025
2025-12-22,DOORDASH,-39.7,Sale,Food & Drink,fake_creditcard_1,2025-12,2025
2025-12-25,SPOTIFY,-10.99,Sale,Subscriptions,fake_creditcard_1,2025-12,2025
